"App","Category","Rating","Number.of.ratings"
"HexDefense","Arcade & Action",4.5,3170
"FatBooth","Entertainment",4.4,20424
"RealPlayer?? Beta","Music & Audio",4.2,34852
"DS audio","Media & Video",4.3,1173
"CB Radio Chat","Communication",4.2,3353
"Doodle God??? F2P","Brain & Puzzle",4.8,5347
"TiKL","Social",4.3,130540
"Scanner Radio","Entertainment",4.4,52116
"Cloudskipper Music Player","Music & Audio",4.4,4699
"Jewels Maze!","Brain & Puzzle",4.4,44515
"Bluetooth File Transfer","Communication",4.3,83710
"Atomic Bomber","Arcade & Action",4.5,19894
"SystemPanel App / Task Manager","Tools",4.7,4763
"i Fishing Lite","Sports Games",4.2,4075
"Ant Smasher Free Game","Arcade & Action",4.6,200324
"Math Workout Pro","Brain & Puzzle",4.7,2659
"Books WordPlayer","Comics",4.1,1663
"Money Lover","Finance",4.5,2212
"Bluetooth File Transfer","Communication",4.3,83547
"Dante: THE INFERNO game","Arcade & Action",4.1,61335
"The Moron Test","Brain & Puzzle",4.5,14212
"Radardroid Pro","Travel & Local",4.3,1024
"GO SMS Widget","Communication",4.4,3685
"YouTube","Media & Video",4.1,346390
"1Tap Cleaner","Tools",4.5,4599
"Any Radio","Media & Video",4.3,2633
"Puzzle Blox Arcade! FREE&FULL","Casual",4.4,9194
"Checkers Free","Brain & Puzzle",4.5,25585
"Dogfight","Arcade & Action",4.2,1091
"Vaulty Free Hides Pictures","Media & Video",4.7,204624
"Japan Life","Casual",4.4,50227
"Papaya Fish 3D","Casual",4.2,8123
"Poynt","Travel & Local",4.3,12795
"Yandex.Traffic widget","Travel & Local",4.5,4685
"RealCalc Scientific Calculator","Tools",4.7,63554
"Tower of clumps","Brain & Puzzle",4.3,2947
"aMetro","Travel & Local",4.5,2084
"The Hangover Soundboard","Media & Video",4.4,1151
"Crunchyroll","Entertainment",4.2,4815
"Tattoo Tycoon FREE","Arcade & Action",4.6,6406
"GTA Cheats","Entertainment",4.6,1730
